p1_class,p1_level,p1_hp,p1_ac,p1_avg_save,p2_class,p2_level,p2_hp,p2_ac,p2_avg_save,p3_class,p3_level,p3_hp,p3_ac,p3_avg_save,p4_class,p4_level,p4_hp,p4_ac,p4_avg_save,num_of_monsters,monster_name,monster_cr,monster_ac,monster_hp,dificulty
Bard,3,26,14,3,Bard,3,23,12,3,Druid,3,22,11,3,Monk,3,27,14,3,1,Evoker Wizard,9.0,12,121,0.0
Wizzard,1,6,15,2,Paladin,1,8,18,2,Monk,1,8,12,2,Monk,1,9,14,2,1,Swarm of Cranium Rats,5.0,12,76,0.1169590643274854
Ranger,4,37,17,3,Sorcerer,4,34,15,3,Fighter,4,45,17,3,Ranger,4,33,12,3,1,Stone Giant Dreamwalker,10.0,18,161,0.5357762445390458
Rogue,4,34,11,3,Fighter,4,40,13,3,Bard,4,37,14,3,Fighter,4,44,19,3,1,Elder Oblex,10.0,16,115,0.0
Sorcerer,2,17,12,2,Paladin,2,17,14,2,Ranger,2,14,13,2,Ranger,2,18,14,2,1,Blackguard,8.0,18,119,0.0
Monk,2,10,15,2,Bard,2,20,13,2,Warlock,2,14,14,2,Monk,2,15,12,2,1,Hydra,8.0,15,172,0.0
Monk,5,35,15,3,Sorcerer,5,24,11,3,Ranger,5,46,17,3,Paladin,5,57,17,3,1,Storm Giant,13.0,16,230,0.45731841112304705
Wizzard,5,22,13,3,Barbarian,5,54,14,3,Monk,5,38,10,3,Warlock,5,41,15,3,1,Star Spawn Seer,13.0,17,153,0.6679901991741191
Paladin,4,33,18,3,Paladin,4,40,14,3,Warlock,4,24,12,3,Bard,4,31,13,3,1,Autumn Eladrin,10.0,19,165,0.0
Warlock,3,21,11,3,Cleric,3,22,15,3,Paladin,3,29,18,3,Monk,3,27,11,3,1,Abominable Yeti,9.0,15,137,0.0
Wizzard,3,12,12,3,Sorcerer,3,26,15,3,Ranger,3,27,13,3,Rogue,3,22,11,3,1,Gray Slaad,9.0,18,127,0.0
Bard,5,38,16,3,Barbarian,5,42,16,3,Sorcerer,5,30,12,3,Barbarian,5,56,17,3,1,Beholder,13.0,18,180,0.6811971564656851
Rogue,4,32,15,3,Sorcerer,4,13,10,3,Wizzard,4,18,14,3,Wizzard,4,35,13,3,1,Deva,10.0,17,136,0.0
Sorcerer,1,4,13,2,Druid,1,11,15,2,Druid,1,8,15,2,Wizzard,1,8,10,2,1,Allip,5.0,13,40,0.0
Wizzard,1,6,10,2,Fighter,1,7,12,2,Paladin,1,8,17,2,Bard,1,7,15,2,1,Banderhobb,5.0,15,84,0.0
Sorcerer,5,34,12,3,Rogue,5,40,17,3,Fighter,5,36,13,3,Rogue,5,43,16,3,1,Neothelid,13.0,16,232,0.4640736428110521
Monk,2,18,10,2,Barbarian,2,16,13,2,Fighter,2,18,19,2,Sorcerer,2,15,14,2,1,Shoosuva,8.0,14,136,0.02569043031470777
Cleric,4,26,16,3,Fighter,4,35,19,3,Druid,4,33,16,3,Monk,4,31,12,3,1,Summer Eladrin,10.0,19,165,0.18327147312613096
Monk,5,35,14,3,Rogue,5,27,15,3,Bard,5,31,12,3,Cleric,5,41,12,3,1,Neothelid,13.0,16,232,0.3020604963820883
Paladin,2,21,14,2,Rogue,2,9,12,2,Fighter,2,21,19,2,Artificer,2,10,16,2,1,Tyrannosaurus Rex,8.0,13,136,0.0
Fighter,5,45,13,3,Fighter,5,44,12,3,Rogue,5,34,12,3,Barbarian,5,65,14,3,1,Adult White Dragon,13.0,18,200,0.0
Warlock,2,15,11,2,Warlock,2,14,12,2,Bard,2,12,16,2,Monk,2,15,10,2,1,Diviner Wizard,8.0,12,90,0.0
Barbarian,1,11,15,2,Cleric,1,8,15,2,Bard,1,7,12,2,Paladin,1,7,15,2,1,Transmuter Wizard,5.0,12,49,0.6684318917328625
Paladin,5,54,19,3,Sorcerer,5,34,10,3,Monk,5,49,12,3,Wizzard,5,23,12,3,1,Adult Brass Dragon,13.0,18,172,0.06495765189809005
Barbarian,5,42,14,3,Barbarian,5,51,15,3,Sorcerer,5,31,12,3,Bard,5,41,14,3,1,Storm Giant,13.0,16,230,0.42877300905495824
Cleric,2,10,15,2,Artificer,2,16,18,2,Cleric,2,14,13,2,Wizzard,2,9,11,2,1,Hydra,8.0,15,172,0.0
Ranger,3,36,17,3,Ranger,3,36,17,3,Paladin,3,32,17,3,Druid,3,24,14,3,1,Treant,9.0,16,138,0.39001501501501507
Monk,5,38,15,3,Ranger,5,49,17,3,Rogue,5,31,14,3,Fighter,5,61,13,3,1,Beholder,13.0,18,180,0.530964971822372
Rogue,1,9,15,2,Ranger,1,9,14,2,Paladin,1,10,18,2,Wizzard,1,6,15,2,1,Barbed Devil,5.0,15,110,0.0
Paladin,3,26,16,3,Ranger,3,33,12,3,Barbarian,3,41,17,3,Cleric,3,22,14,3,1,Bone Devil,9.0,19,142,0.008583605114147944
